"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
1,0.74,2.51,1.6,0.7,1.08,0.31,0.8,"short",120.1,"no",19,0.548,2.04,0.421,0.47
1,-0.45,1.05,0.09,0.59,-0.8,-0.8,1.53,"short",98.5,"Missing",27.5,0.222,2.3,0.5,0.38
1,-1.5,-0.9,-1.53,2.32,-0.87,-0.82,-1.4,"long",63.5,"Missing",38,0.001,1.1,0.125,0.2
1,-0.45,1.05,0.09,0.59,-0.8,-0.8,1.53,"short",98.5,"Missing",27.5,0.222,2.3,0.5,0.38
1,-1.1,-0.9,-1.23,0.17,-0.06,-1.79,0.8,"long",54.2,"Missing",15,0.001,1.57,0.375,0.42
1,-1.5,-0.9,-1.53,2.32,-0.87,-0.82,-1.4,"long",63.5,"Missing",37.5,0.001,1.1,0.125,0.2
1,-1.1,-0.9,-1.23,0.17,-0.06,-1.79,0.8,"long",54.2,"Missing",15,0.001,1.57,0.375,0.42
1,-0.71,-0.41,-0.72,0.91,0.62,0.53,-1.03,"long",86.5,"no",37.5,1.106,3.8,0.391,0.31
1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",40.6,"yes",8,1.106,3.57,0.435,0.37
1,-0.71,-0.41,-0.72,0.91,0.62,0.53,-1.03,"long",86.5,"no",37.5,1.106,3.8,0.391,0.31
1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",102,"no",15,0.829,1.64,0.174,0.32
1,-0.05,0.56,0.19,0.07,0.99,0.43,-1.4,"long",40.6,"yes",8,1.106,3.57,0.435,0.37
1,-0.18,-0.17,-0.22,0.7,-0.21,-0.74,-0.3,"short",102,"no",15,0.829,1.64,0.174,0.32
0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",81,"Missing",38,0.001,1.46,0.167,0.13
0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",79.4,"Missing",37.5,0.001,1.01,0.667,0.77
0,0.74,-0.66,0.29,0.4,-1.05,-1.68,0.33,"short",81,"Missing",38,0.001,1.46,0.167,0.13
0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",101,"Missing",6.5,0.001,2.06,0.167,0.09
0,0.77,-0.5,0.4,0.26,-2.09,-1.59,-0.88,"short",79.4,"Missing",9,0.001,1.01,0.667,0.77
0,1.39,1.29,1.6,-0.95,0.42,0.37,-0.07,"short",101,"Missing",8,0.001,2.06,0.167,0.09
1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",44.4,"no",17.5,1.452,3.04,0.52,0.48
1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",44.3,"no",17.5,0.242,6.19,0.28,0.13
1,0.6,1.05,0.89,0.7,-0.8,-1.45,0.07,"short",44.4,"no",17.5,1.452,3.04,0.52,0.48
1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",120.1,"yes",28,0.001,1.4,0.2,0.4
1,1,-0.41,0.59,-0.77,1.33,0.42,-0.67,"short",44.3,"no",17.5,0.242,6.19,0.28,0.13
1,-0.05,0.56,0.19,-0.88,0.44,0.27,0.07,"long",120.1,"yes",28,0.001,1.4,0.2,0.4
1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",40,"yes",15.5,0.001,1.53,0.533,0.67
1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",138.2,"no",15,1.22,2.76,0.333,0.23
1,0.6,-1.63,-0.22,-0.25,1.38,0.95,-0.67,"long",40,"yes",15.5,0.001,1.53,0.533,0.67
1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",26.9,"no",15.5,0.001,2.82,0.133,0.09
1,-0.18,-1.15,-0.62,1.54,0.61,1,0.8,"short",138.2,"no",15,1.22,2.76,0.333,0.23
1,-1.37,1.05,-0.62,-0.67,-0.26,-0.46,-1.03,"short",26.9,"no",15.5,0.001,2.82,0.133,0.09
1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",76.6,"no",37.5,0.363,1.23,0.167,0.21
1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",35.5,"yes",25,1.269,2.43,0.722,0.45
1,-1.1,-0.17,-0.92,2.28,1.21,0.64,0.8,"long",76.6,"no",37.5,0.363,1.23,0.167,0.21
1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",46.5,"no",15.5,0.906,0.5,0.111,0.34
1,1.39,1.05,1.5,-0.35,-0.56,-0.61,0.07,"long",35.5,"yes",25,1.269,2.43,0.722,0.45
1,-1.89,-1.63,-2.13,-0.51,-0.53,-0.04,0.8,"short",46.5,"no",15.5,0.906,0.5,0.111,0.34
1,-0.84,-1.15,-1.12,1.54,1.59,0.69,0.07,"short",66.4,"Missing",37.5,0.563,1.39,0.364,0.37
1,-1.23,0.07,-0.92,-0.56,-0.24,-0.42,0.43,"short",46.2,"Missing",15,1.408,2.05,0.455,0.31
1,-0.84,-1.15,-1.12,1.54,1.59,0.69,0.07,"short",66.4,"Missing",37.5,0.563,1.39,0.364,0.37
1,-0.05,0.32,0.09,-0.14,-0.7,-1,0.43,"short",69.8,"Missing",8,0.845,0.82,0.182,0.31
1,-1.23,0.07,-0.92,-0.56,-0.24,-0.42,0.43,"short",46.2,"Missing",15,1.408,2.05,0.455,0.31
1,-0.05,0.32,0.09,-0.14,-0.7,-1,0.43,"short",69.8,"Missing",8,0.845,0.82,0.182,0.31
1,0.08,1.29,0.59,-0.46,-0.43,-0.83,-0.67,"tanktop",62.4,"Missing",30.5,1.196,0.81,0.143,0.24
1,-0.71,-0.9,-0.92,-1.61,0.91,1,0.43,"short",41.3,"Missing",8,0.199,1.2,0.429,0.48
1,0.08,1.29,0.59,-0.46,-0.43,-0.83,-0.67,"tanktop",62.4,"Missing",30.5,1.196,0.81,0.143,0.24
1,-0.84,0.32,-0.52,0.07,0.12,-1.02,-0.67,"short",88.3,"Missing",19,0.399,2.11,0.429,0.28
1,-0.71,-0.9,-0.92,-1.61,0.91,1,0.43,"short",41.3,"Missing",8,0.199,1.2,0.429,0.48
1,-0.84,0.32,-0.52,0.07,0.12,-1.02,-0.67,"short",88.3,"Missing",19,0.399,2.11,0.429,0.28
0,2.97,0.8,2.61,0.4,2.87,2.24,-0.07,"short",39.4,"yes",21.5,0.234,3.21,0.8,0.37
0,-1.63,0.32,-1.12,0.94,0.44,0.37,-0.88,"short",72.2,"no",27.5,0.234,0.74,0.067,0.13
0,2.97,0.8,2.61,0.4,2.87,2.24,-0.07,"short",39.4,"yes",21.5,0.234,3.21,0.8,0.37
0,-0.05,-1.88,-0.82,2.15,-0.68,-0.5,-1.28,"short",58.8,"no",10.5,0.938,0.4,0.133,0.5
0,-1.63,0.32,-1.12,0.94,0.44,0.37,-0.88,"short",72.2,"no",27.5,0.234,0.74,0.067,0.13
0,-0.05,-1.88,-0.82,2.15,-0.68,-0.5,-1.28,"short",58.8,"no",10.5,0.938,0.4,0.133,0.5
1,-0.05,-1.15,-0.52,-1.19,0.68,0.06,-1.03,"short",91.3,"no",12.5,0.382,2.47,0.292,0.27
1,-1.1,0.07,-0.82,-1.08,0.57,0.46,-0.67,"short",74.1,"no",38,1.338,3.25,0.5,0.35
1,-0.05,-1.15,-0.52,-1.19,0.68,0.06,-1.03,"short",91.3,"no",12.5,0.382,2.47,0.292,0.27
1,-0.97,0.32,-0.62,-1.4,-0.89,-0.78,-0.3,"short",59.2,"yes",28,0.574,1.27,0.208,0.38
1,-1.1,0.07,-0.82,-1.08,0.57,0.46,-0.67,"short",74.1,"no",38,1.338,3.25,0.5,0.35
1,-0.97,0.32,-0.62,-1.4,-0.89,-0.78,-0.3,"short",59.2,"yes",28,0.574,1.27,0.208,0.38
1,-0.71,0.07,-0.52,-0.63,-1.27,-0.97,-0.3,"short",50.6,"no",30,1.55,1.33,0.412,0.54
1,-0.05,0.8,0.29,-0.14,-0.26,-0.07,-0.3,"short",44.4,"no",38,1.55,3.42,0.235,0.12
1,-0.71,0.07,-0.52,-0.63,-1.27,-0.97,-0.3,"short",50.6,"no",30,1.55,1.33,0.412,0.54
1,-0.97,-0.17,-0.82,2.07,-0.37,0.18,-0.3,"short",48.1,"yes",15,1.034,1.83,0.353,0.34
