"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
12,92163760,92115432,36,1,2,0,0.47,1.29,0.89,0.53,-0.24,-1.29,-1.28,"short",2,102,"no",0,11,0.29,0.26,0.333,0.585,2.19,1.09,5.41,204.1
12,92115432,92163760,36,2,2,0,-0.45,0.07,-0.32,-0.14,-0.12,-0.3,0.74,"short",2,68.9,"no",0,38,-0.29,0.06,0,0.001,0,0.001,9.3,204.1
13,92197600,92150160,37,1,1,1,0.87,0.56,0.89,-0.67,0.78,-0.01,-1.4,"short",2,73.9,"no",0,26,0,0.15,0.375,0.952,2.13,2.84,2,219.5
13,92150160,92197600,37,2,1,1,-0.58,-1.63,-1.12,0.38,0.41,-0.12,0.43,"short",2,82.2,"no",0,38,0,0.27,0.625,0.238,2.03,0.41,5.24,219.5
13,92197600,13226912,38,1,2,1,0.87,0.56,0.89,-0.67,0.78,-0.01,-1.4,"short",2,73.9,"no",0,26,0.29,0.15,0.375,0.952,2.13,2.84,2,219.5
13,13226912,92197600,38,2,1,1,0.87,-0.17,0.59,0.91,-0.74,-0.41,-1.77,"tanktop",1,102,"yes",1,NA,-0.29,0.58,0,0.952,0,0.75,3.26,219.5
13,92150160,13226912,39,1,2,1,-0.58,-1.63,-1.12,0.38,0.41,-0.12,0.43,"short",2,82.2,"no",0,38,1.29,0.27,0.625,0.238,2.03,0.41,5.24,219.5
13,13226912,92150160,39,2,2,1,0.87,-0.17,0.59,0.91,-0.74,-0.41,-1.77,"tanktop",1,102,"yes",1,NA,-1.29,0.58,0,0.952,0,0.75,3.26,219.5
14,13267876,92113840,40,1,1,0,-0.05,0.32,0.09,0.4,-0.05,-1.18,1.54,"short",2,93.9,"no",0,38,-0.29,0.21,0.188,0.286,1.83,0.61,6.55,224.3
14,92113840,13267876,40,2,1,0,-0.11,-2.12,-0.89,0.26,0.4,1.31,-1.28,"short",2,64.6,"no",0,37.5,0.29,0.54,0.438,0.857,1.67,0.71,4.31,224.3
