triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
20	34112504	53399896	58	1	1	0	0	2	0	1	44.4	1	0	0	0.70	-1.55	0.24	0.00	1	0	1	18	0	1	0.60	1.05	0.89
20	53399896	34112504	58	2	1	0	0	3	1	1	44.3	2	0	0	-0.77	-1.55	0.00	0.24	1	1	0	6	1	0	1.00	-0.41	0.59
20	34112504	13255672	59	1	2	0	0	2	0	1	44.4	1	0	0	0.70	-0.83	1.21	0.00	1	0	1	18	0	1	0.60	1.05	0.89
20	13255672	34112504	59	2	1	0		1	0	1	120.1	2	0	0	-0.88	-0.83	0.00	1.21	1	1	0	6	1	0	-0.05	0.56	0.19
20	53399896	13255672	60	1	2	0	0	3	1	1	44.3	2	1	1	-0.77	0.59	0.24	0.00	1	1	1	6	1	1	1.00	-0.41	0.59
20	13255672	53399896	60	2	2	0		1	0	1	120.1	2	1	1	-0.88	0.59	0.00	0.24	1	1	1	6	1	1	-0.05	0.56	0.19
21	13244446	92133400	61	1	1	1	1	3	1	1	40	1	1	1	-0.25	0.94	0.00	1.22	0	1	1	6	1	0	0.60	-1.63	-0.22
21	92133400	13244446	61	2	1	1	1	1	0	1	138.2	1	1	1	1.54	0.94	1.22	0.00	0	1	1	9	0	1	-0.18	-1.15	-0.62
21	13244446	92147440	62	1	2	1	1	3	1	1	40	1	0	0	-0.25	-0.92	0.00	0.00	0	1	0	6	0	0	0.60	-1.63	-0.22
21	92147440	13244446	62	2	1	1	1	2	0	1	26.9	3	0	0	-0.67	-0.92	0.00	0.00	0	0	1	12	0	0	-1.37	1.05	-0.62
21	92133400	92147440	63	1	2	1	1	1	0	1	138.2	1	0	0	1.54	0.67	0.00	0.00	0	0	0	9	0	0	-0.18	-1.15	-0.62
21	92147440	92133400	63	2	2	1	1	2	0	1	26.9	3	0	0	-0.67	0.67	0.00	0.00	0	0	0	12	0	0	-1.37	1.05	-0.62
22	92189960	92121416	64	1	1	1	1	3	0	1	76.6	1	1	1	2.28	2.27	0.36	0.18	1	0	0	12	0	1	-1.10	-0.17	-0.92
22	92121416	92189960	64	2	1	1	1	2	1	1	35.5	1	1	1	-0.35	2.27	0.18	0.36	1	0	0	12	1	0	1.39	1.05	1.50
